고유번호,직업 이름,하는 일
50,시스템소프트웨어개발자,"시스템소프트웨어개발자는 컴퓨터를 작동시키고 각 부품의 활동을 조정, 통제, 관리하는 윈도우, 맥, 리눅스와 같은 오퍼레이팅시스템 소프트웨어를 연구, 개발, 설계하는 일을 합니다
 국내외의 시장을 조사하고 경쟁기업의 제품 및 소프트웨어 업계의 기술 변화 등을 분석하여 새로운 기능과 성능을 갖춘 시스템소프트웨어를 기획하고 개발합니다.
 개발된 시스템소프트웨어를 컴퓨터에 설치 및 시험 운영하여 시스템소프트웨어의 기능과 성능을 평가하고 분석합니다.
 시스템소프트웨어에 대한 사용자 교육과 기술에 대한 전문적인 조언을 하고 새로운 시스템소프트웨어 관련 기술을 조사하고 연구합니다."
51,시스템엔지니어,"시스템엔지니어는 정보 기술의 기술적 사항과 해당 업무에 필요한 사항을 종합적으로 분석하고 설계하여 사용 용도에 따라 가장 빠르면서 안정된 정보시스템을 만드는 일을 합니다.
 정보시스템을 도입해 처리할 일을 확인하고 사용자가 일을 처리하는 절차와 관련된 자료를 가지고 정보시스템으로 만들기 위한 모든 요소를 확인합니다.
 기존 시스템의 문제점과 고객이 원하는 사항을 자세히 파악하고 분석하여, 만들어야 할 정보시스템의 성능, 기능, 사양 등에 관한 주요 사항을 결정합니다.
 만들고자 하는 시스템이 다른 업무를 처리하는 전산 시스템의 데이터와 얼마나 관련되어 있는지를 자세히 검토하여 데이터의 처리에 문제가 없도록 합니다."
52,식품공학기술자," 식품공학기술자는 식품에 대한 조사, 개발, 생산 기술 개발, 품질 관리, 포장, 가공 및 이용에 관한 업무를 합니다.
 식품개발을 담당하는 식품공학기술자는 자사 및 경쟁업체의 상품에 대해 식품 및 소비자의 반응을 분석하고, 생산할 제품을 기획하고 식품의 영양, 맛, 색깔, 상품 가치 등을 고려해 적합한 재료를 선택하고, 조리 방법 등을 연구합니다.
 식품의 각종 성분을 검사하는 식품공학기술자는 각 식품의 특성에 따라 유해 성분 잔류 여부, 식품첨가물의 적절성 여부 등, 제품의 안전성을 판단하는 안전 검사를 실시하며, 이러한 실험·검사 결과를 토대로 종합적인 보고서를 작성합니다.
 식품공학기술자 중 식품감시원은 백화점 및 할인 마트의 식품 코너, 식품생산업체 등에서 판매되거나 조리되는 식품이 안전하게 소비자에게 유통되고 판매되는지를 관리하고 감독합니다.
 식품 가공, 생산 포장, 품질 관리에 관한 개선된 방법과 기술을 개발하고, 생산 현장에서 생산 라인의 책임자를 지도하거나 제조 공정을 감독하는 작업도 수행합니다."
53,식품융합엔지니어,"식품융합엔지니어는 미래의 식량 부족 위기에 대비해서 생명과학과식품과학 기술, 전자 및 기계공학 기술 등의 융합을 통해 새로운 기능과 형태를 가진 식재료를 개발하는 일을 합니다.
 유전자 조작과 세포를 합치는 병합 등을 통해 병과 해충에 강하고 생산량이 많은 작물을 개발합니다.
 식재료뿐만 아니라 다양한 용도로 활용될 수 있는 새로운 작물을 개발합니다."
54,신경회로망연구원,"신경회로망연구원은 영상 및 음성인식, 로봇 제어, 통신 등에 사용되는 인공지능형 반도체 및 응용기술을 연구하고 개발하는 일을 담당합니다.
 인간의 뇌와 뇌세포 구조에 대한 지식을 바탕으로 컴퓨터나 로봇 등이 인간과 같이 사고하고 학습하는 능력을 갖도록 하는 프로그램을 개발하고 연구합니다.
 영상인식, 음성인식, 로봇제어, 표적인식, 통신 등에 사용되는 응용기술을 연구합니다."
55,신재생에너지 전문가,"신재생에너지 전문가는 태양광, 풍력, 지열, 바이오에너지, 연료전지, 수소에너지 등을 이용하여 전기를 생산하고 이용하는 기술을 개발합니다.
 신재생에너지를 이용하여 보다 효율적으로 전기를 생산하고 공급할 수 있는 장비를 개발하고 관리하는 일을 합니다.
 태양광발전, 풍력발전, 지열발전 등과 같이 신재생에너지를 생산하는 발전 시스템을 설치하고 운영하는 일을 합니다."
56,아이티(IT)교육강사,"아이티(IT)교육강사는 수강생들에게 컴퓨터 정보처리 기술이나 기타 컴퓨터 프로그램을 능숙하게 활용하기 위한 방법과 이론 등을 설명하거나 가르칩니다.
 정보통신학원 또는 컴퓨터 학원에서 각종 컴퓨터 프로그램을 능숙하게 활용하기 위한 방법 등에 대한 이론과 실기 및 실습을 함께 가르칩니다.
 학생들에게 강의할 교재를 만들고 강의를 진행합니다.
 IT 분야에 관련된 IT 기획, 웹프로그램, 웹디자이너, 웹퍼블리셔 등 정보통신 관련 기업의 취업 및 진로 상담을 담당합니다."
57,아이티(IT)기술영업원,"아이티(IT)기술영업원은 정보통신 제품에 대한 전문 지식을 활용하여 고객에게 적합한 제품을 소개하고, 판매하는 일을 합니다.
고객에게 IT 기술 제품(하드웨어 또는 소프트웨어)의 기능과 성능, 사용 방법 등에 대해 조언하고 기존 시스템과 이후 최신화될 기술 관련 문제에 대하여 상담합니다.
 고객이 필요한 내용과 구매 능력을 파악하여 적합한 IT 제품 및 서비스를 추천하거나 판매 계약서를 작성합니다.
 IT 기술 제품이나 서비스를 판매하고 문제가 발생한 경우 문제 해결을 위한 지속적인 서비스를 제공합니다.
 영업 관련 사업계획서 및 사업 기술서를 작성하고, 영업 관련 세미나 전시 기획, 광고 및 홍보 업무를 총괄합니다."
58,에너지공학기술자,"에너지공학기술자는 에너지 사업을 위한 기술상의 조건을 분석하며 이에 필요한 시스템 장비를 설계, 계획, 조직화합니다.
 광산 개발 관련 업무를 수행하고, 광산 시설, 시스템 및 장비를 설계하며 지하의 금속 또는 비금속광물, 광석의 추출을 계획 및 조직합니다.
 석유 및 가스 매장량의 탐사, 개발, 추출과 관련된 연구를 수행하며, 광석 매장량 및 보유량 추정 및 탄광 설계에 관한 측량 및 연구를 수행합니다."
59,원격진료 코디네이터,"의학적 지식을 바탕으로 직접 병원에 가기 어려운 환자들을 정보 통신 기술(ICT: Information and Communication Technologies)을 이용하여 의사와 연결해 주어 원격진료 서비스가 가능하도록 도와주는 업무를 수행합니다.
 환자의 원격진료 서비스 요청에 대응하여 진료를 위해 상담을 하고 관련 내용을 문서로 정리합니다.
 환자가 보내온 혈당, 혈압, 심전도, 체중 등 의료 정보를 PC, 스마트폰 등을 통해 수집하고 분석하여 의료진에게 전달합니다.
 원격진료 서비스 결과에 대하여 환자에게 설명해 주고 이에 대한 상담 서비스를 제공합니다."
60,원자력연구원,"원자력연구원은 사람들과 산업체에 에너지를 제공하기 위해 사용되는 원자력의 안전한 이용 방법에 대해 연구하고 개발합니다.
 안전성과 경제성을 지닌 새로운 원자력 에너지를 연구ㆍ개발하며, 원자력 발전소의 안전성을 평가합니다.
 방사선 폐기물의 안전한 처리 방법에 대해 연구하고, 방사선을 의학용, 농업용 등으로 이용할 수 있는 기술을 개발합니다.
 화학, 생물 등의 기초 분야 및 인공지능, 신소재 개발과 같은 여러 분야와 원자력 기술을 접목하는 연구를 수행합니다."
61,웹디자이너,"웹디자이너는 웹사이트의 첫 화면이나 세부적인 화면, 메뉴의 색상과 아이콘 등 사이트 전체를 디자인하고 만드는 일을 합니다.
 웹페이지의 문자, 이미지, 동영상, 음성 등을 재가공하여 이용자들이 알기 쉽고 사용하기 쉽게 만드는 작업을 합니다.
 웹사이트의 전체적인 이미지를 결정한 후 사용자가 웹페이지를 이용할 때 메뉴의 이동을 돕는 내비게이션을 디자인하고 전체 구조, 주메뉴와 부메뉴를 위계적으로 정하며, 웹사이트의 틀을 정하고 시각적인 배치를 합니다.
 웹사이트의 주요 화면을 필요에 따라 갱신하며 웹사이트를 제작할 때 필요한 기술인 HTML5, CSS, Javascript, JSP, ASP, XML 등을 활용하여 웹에 애니메이션이나 특정한 효과를 구현하기도 합니다."
62,웹마스터,"웹마스터는 인터넷 웹사이트의 게시판을 관리하거나 사이트상에서 발생한 오류나 문제들을 확인하고 해결하는 일을 담당합니다.
 운영 중인 웹사이트에서 제공되는 콘텐츠를 관리하고, 웹사이트에서 제공하는 서비스의 기능을 정기적으로 점검하고 유지합니다.
 웹사이트에서 자주 발견되거나 사용자들로부터 접수되는 오류 사항 등을 파악하고 개선 사항을 정리하여 관련된 담당자(기획자 또는 개발자)에게 전달합니다.
 웹사이트를 관리하는 관리자 페이지의 사용자 등록이나 삭제, 변경, 관리자 권한 등을 설정하고 관리하는 역할도 합니다."
63,웹접근성컨설턴트,"누구나 손쉽게 웹사이트에 접근할 수 있도록 웹 접근성을 지키고 있는지를 확인하고 필요한 기업이나 기관을 대상으로 전문적인 조언과 지원을 합니다.
 웹접근성컨설턴트는 콘텐츠의 분석, 설계, 개발, 테스트, 실행의 전 과정에서 웹 접근성에 특화하여 웹디자이너 또는 퍼블리셔와 같은 작업자를 교육하거나 개발물을 진단 및 보완하는 컨설팅 서비스를 제공합니다.
 컨설팅을 의뢰한 기업과 관계자에게 웹 접근성의 개념 및 웹 접근성 구현 사례 교육을 실시하고 관련된 가이드라인과 표준 지침을 제공하고 설명합니다.
 PC웹 사이트와 모바일 웹 등의 화면을 기획하는 내용이 담긴 화면 설계서나 디자인 시안을 확인하고 오류 사항이나 개선점을 제안하여 개발할 때 적용할 수 있도록 합니다.
 최종 콘텐츠를 검토하고 웹 접근성 품질 마크를 획득할 수 있도록 지원합니다."
64,웹프로듀서,"웹프로듀서는 웹사이트 기획, 구축 및 운영, 마케팅 등을 총괄합니다.
 새로운 인터넷 사이트를 만들기 위한 기획안을 만들며, 웹사이트에서 제공할 내용, 디자인 등 전반적인 홈페이지 관리를 담당합니다.
 웹사이트의 자료를 지속적으로 갱신합니다."
65,유전공학연구원," 유전공학연구원은 생명현상의 기본 물질인 유전자를 재조합하여 인류에게 유익한 의약물질, 기능성물질 등을 생산하고, 새로운 형질의 생명체를 창출, 실용화하는 첨단 기술에 대해 연구합니다.
 인체를 포함한 동물, 식물, 미생물 등 세포 내에서 수행되는 생명활동의 기본 현상과 원리를 규명하고 식물이나 동물의 유전방식을 연구합니다.
 유전자를 인위적으로 재조합하여 새로운 품종을 개발하거나 유전질환, 암, 노화, 치매, 에이즈 등과 같은 질병의 유발 원인에 대해 연구합니다."
66,의료정보시스템개발자,"의료정보시스템개발자는 의료정보의 축적 및 검색, 의료기관 간의 상호 연결 또는 지역주민이 의료기관을 보다 편리하게 이용할 수 있도록 하는 정보시스템을 연구 및 개발하는 일을 합니다.
 국내외의 의료정보시스템 개발 흐름 및 우리나라 의료 체계와 관련된 법과 제도를 분석하여 적합한 의료정보시스템을 기획하고 개발합니다.
 병원과 환자의 진료 정보 및 기타 의료 행정 정보들을 체계적으로 관리할 수 있는 의료정보시스템을 만듭니다.
 의료정보시스템이 작동하는 데 필요한 하드웨어나 네트워크 장비를 정기적으로 점검하고, 시스템의 오류나 결함의 원인을 분석하여 문제를 해결합니다."
67,인공위성개발원,"인공위성개발원은 우주탐사, 기상예보 등의 다양한 목적을 달성하기 위한 인공위성을 연구 및 개발하는 일을 담당합니다.
 인공위성 및 인공위성과 관련된 분야에 대한 전문적 지식과 기술을 활용하여 목적에 맞는 인공위성을 연구, 개발, 설계합니다.
 인공위성이 궤도에 도달하도록 유도하며, 위성으로부터 보내진 탐사 자료를 분석합니다.
 시장조사와 세계 인공위성개발의 기술 변화 등에 대해 분석하여 인공위성의 기술적 성능의 개선 및 개발에 참고합니다.
 개발한 인공위성의 성능을 시험하며, 발견된 인공위성의 결함 원인에 대해 분석하여 해결책을 제시합니다."
68,자동조립라인 및 산업용로봇조작원,"자동조립라인 및 산업용로봇조작원은 생산 현장의 자동 또는 반자동 조립라인을 조작하거나 산업용 로봇을 조작하는 일을 담당한다.
 자동차 등의 기업체 생산 현장에서 자동, 반자동 조립라인을 제어하고 조작합니다.
 로봇의 수행 작업에 대한 프로그램을 작성하고 관리합니다.
 로봇의 움직임을 관찰하고 정확한 작업을 수행하는지 점검합니다."
69,자동차공학기술자,"자동차공학기술자는 각종 차량의 차체, 엔진, 제동장치, 및 기타 구성품에 관하여 개발 및 제조를 계획, 감독합니다.
 자동차의 기계, 전기 및 기관에 대한 새로운 디자인을 개발하기 위하여 관련 자료를 검토하고 분석합니다.
 구성부품 및 기관을 설계하고, 공학기술상의 설계와 일치 여부를 확인하기 위하여 부품, 차량의 제조, 개조, 수리 작업을 감독, 조정합니다."
70,재료공학기술자,"재료공학기술자는 산업에서 사용하고 있는 금속 및 비금속 재료를 가공ㆍ처리하여 제조하는 일련의 제조공정을 연구ㆍ개발하고 기술을 지휘ㆍ감독합니다.
 비금속의 속성 및 특성에 관한 연구를 수행하고 세라믹, 반도체 및 기타 재료들의 주형, 조형, 열처리를 위한 공정을 설계합니다.
 각종 설비와 배관의 물성 및 부식에 대한 진단을 위하여 비파괴 기술에 대한 연구를 합니다.
 화학, 물리적 분석 및 기타 연구를 수행하고 재료의 설계, 부식 관리 방법과 공정을 검사하며 기타 절차들에 관해 자문합니다.
 제품검사를 조정하고 비금속재료의 생산공정을 관리합니다."
71,전기공학기술자,"전기공학기술자는 전력, 자동화 및 제어 시스템, 엔지니어링 및 건설, 전기 설비 등의 분야에서 계획 설계 시공 및 감리 업무와 전력시설물의 유지 보수 및 안전관리 업무를 합니다.
 자료를 수집·분석하여 회사 실정에 맞는 장·단기 기술 정책안을 세우고 과학기술정보를 수집·조사하여 생산 및 설비 기술 향상을 위한 방안을 연구합니다.
 공업 표준화 및 사내 기술 규격 표준 등의 제정·조정 업무를 수행합니다.
 전기 부문의 각종 기술적 조정 업무를 수행하며, 기존 설비의 시설용량, 규격, 형식 등을 검토하여 설비 개선 방안을 연구합니다.
 전기 관련 제조업 분야에서는 제품 개발 및 설계 업무, 소프트웨어 개발 업무, 공장 자동화 시스템 개발 업무뿐만 아니라 전자 제품 및 기기 제조업 분야 등에서 연구 및 개발, 설계 및 감독 업무를 합니다."
72,전자공학기술자,"전자공학기술자는 물리학 및 수학의 이론과 원리를 바탕으로 재료 속성에 대한 지식을 활용하여 전자제품을 설계 및 개발하고 생산관리 및 감독 업무를 합니다.
 제품을 설계 및 개발하기 위해서는 시장조사를 거쳐 소비자가 원하는 성능, 기능, 디자인 등에 대한 의견 수렴을 하고 경쟁업체 제품 및 세계 동향, 기술 변화 등을 분석한 후 디자인 설계를 합니다.
 계획된 공사의 설계와 시공에 대한 감독 및 조언을 담당하고 계측제어설비에 대한 정비 계획을 수립·시행합니다.
 전산기 하드웨어 및 계측제어설비의 사양을 검토·조정하고 신기술 도입 및 개발 방안을 연구합니다.
 제품의 모델을 만들어 성능에 이상은 없는지, 제대로 작동은 하는지, 진동이나 충격에 강한지 등을 테스트합니다."
73,무인항공기시스템개발자,"무인항공기시스템개발자는 무인항공기 시스템의 설계, 제조, 작동 및 유지에 필요한 활동을 합니다.
 무인항공기의 정교한 자동 운항 시스템 개발과 함께 무인기의 정보 자료 수집체계를 설계하고 개발합니다.
 무인항공기로부터 수집된 자료를 분석하고 체계적으로 저장할 수 있는 정보 분석 및 관리 체계를 만듭니다."
74,반도체공학기술자,"반도체공학기술자는 냉장고, 텔레비전, 세탁기 등의 가전제품과 의료기기, 컴퓨터, 휴대폰 등 전자제품에 사용되는 반도체의 기술적 성능을 개선하거나 새로운 기능과 성능을 갖춘 반도체를 개발합니다.
 반도체에 대한 전반적인 기술적 지식을 활용하여 반도체의 제조 및 조립을 위한 공정별 최적 조건을 설정합니다.
 반도체 제조에 필요한 설비와 장비를 시운전하여 조작 및 운영 방법을 규정하여 작업자에게 지시하고, 불량제품의 원인을 분석하고 그 대책을 수립합니다.
 기술적 성능을 개선하고 부품, 제품 및 시스템에 사용되는 전자적 특성에 대한 변형과 응용에 대해 계획하고 개발합니다.
 새로운 장비나 설비에 대하여 시험 가동하여 적정 조건 유지를 검토하고 제반 공정 조건을 규정하며 작업원들에게 장비 조작 방법 및 제반 조건에 관한 교육을 합니다."
75,발명가,"발명가는 지금까지 없던 기술이나 물건을 새로 생각하여 만들어 내는 일을 전문적으로 하는 사람으로, 새로운 아이디어를 생각해 내고 시제품을 만듭니다.
 자신이 생각해 낸 발명품의 개요를 적어 개인이 직접 특허청에 특허출원을 신청하거나 특허사무소 또는 변리사를 통하여 특허를 신청하기도 합니다.
 중소기업이나 대기업 등에 특허법에 의하여 발명을 독점적으로 이용할 수 있는 권리인이 자신의 발명 특허권을 팔기도 합니다.
 자신이 발명한 특허기술을 바탕으로 벤처회사를 설립하거나 상품화하여 팔기도 합니다."
76,베타테스터,"베타테스터는 컴퓨터업체에서 소프트웨어나 하드웨어 제품을 판매하기 전에 제품의 결함 여부를 검사하는 사람으로, 프로그램의 오류를 파악하고 해결 방안을 제시하여 상품성을 높이는 일을 합니다.
 소프트웨어, 하드웨어 등 제품의 문제점 및 보완점을 발견해 필요한 조치를 취합니다.
 소프트웨어 프로그램의 장단점을 파악하여 홍보하는 역할을 하기도 합니다.
 게임 베타테스터는 게임 출시 전에 일부 사용자를 선발하여 테스트 자격을 부여하여 문제점을 파악하거나, 게임 출시 직전에 전체 사용자들에게 서비스를 이용하게 한 후 시스템 문제점, 버그 등을 파악합니다."
77,블록체인 전문가,"블록체인 전문가는 누구나 열람할 수 있는 장부에 거래 내용을 공개적으로 기록하고 여러 대의 컴퓨터에 복제, 저장하는 기술인 블록체인 기술을 활용할 수 있는 분야와 산업을 찾고 이를 적용하기 위한 소프트웨어를 설계하고 개발합니다.
 실물 없이 사이버상에 전자 정보의 형태로 거래되는 전자화폐인 암호화폐를 블록체인 기술에 기반하여 개발합니다.
 블록체인 기술이 실생활에서 사용될 수 있도록 소프트웨어를 개선하고 보완합니다."
78,비디오게임디자이너,"비디오게임디자이너는 게임의 줄거리, 등장인물의 캐릭터, 행적에 대한 이야기의 틀을 잡습니다. 또한 하나 또는 다수의 캐릭터 입장에서 진행되는 이야기인 롤플레잉 방법(role-play mechanics)을 구체화합니다.
 구체화된 게임 기획안에 따라 프로그래머, 작가, 애니메이터 등의 개발 팀원들을 지휘하며 소프트웨어 제작 과정을 총괄하여 감독합니다.
 계획된 제작 일정에 맞추어 프로토타입을 개발하고 재미 요소나 구현 가능성을 검증한 후 게임의 다양한 콘텐츠를 균형 있게 경험할 수 있도록 조정합니다."
79,빅 데이터 전문가,"빅 데이터 전문가는 대량의 빅 데이터로 사람들의 행동이나 시장의 변화 등을 분석하는 데 도움이 되는 정보를 제공합니다.
 구체적으로는 데이터 수집, 데이터 저장 및 분석, 데이터 시각화 등을 통한 정보 제공을 담당합니다.
 실시간으로 데이터를 수집·저장·분석하고 시각화하여 의미 있는 분석 결과를 도출하기도 합니다.
 빅 데이터와 관련된 새로운 기술, 유행 등을 수시로 파악합니다"
80,사물 인터넷 전문가,"사물 인터넷 전문가는 우리 주변에 있는 사람, 사물, 공간과 관련된 데이터를 인터넷으로 연결하여 새로운 정보가 생성·수집·공유·활용되도록 하고, 이를 통해 새롭게 가치 있는 것을 만들어 이전에 없던 편리함을 사람들에게 제공합니다
 우리 사회의 안전, 복지, 교통, 환경 등에서 문제점이 없는지 점검하고 더 편리하고 안전한 삶을 만들기 위하여 사물 인터넷 기술을 활용한 해결 방안을 찾습니다.
 사물 인터넷 기술과 서비스를 판매하거나 구입할 수 있는 제품으로 만드는 역할을 합니다."
81,사이버 평판 관리자," 사이버 평판 관리자는 주로 온라인에서 개인이나 기업과 관련된 사람들의 평가나 만족/불만족 내용과 같은 평판을 감시합니다.
 누군가가 의도적으로 만들어낸 좋지 않은 내용(악성 평판)을 해결합니다.
 평판과 관련된 의견을 모으거나, 미리 좋지 않은 내용이 인터넷에 퍼지기 전에 대응할 수 있도록 자료를 수집하는 일을 합니다.
 기업에 대한 나쁜 평판에 관해 체계적이고 조직적으로 대응하여 좋은 평판을 얻기 위한 방안을 찾습니다."
82,전자상거래전문가," 전자상거래전문가는 정부, 기업, 개인 등이 인터넷 웹사이트를 통해 상품 및 서비스를 구매할 수 있는 전자상거래 시스템을 설계하고 만드는 일을 합니다.
 전자상거래전문가는 사업 기획부터 콘텐츠 개발, 시스템 구성, 서버 관리 및 운영, 상품 구매 및 판매, 마케팅 및 홍보 등을 담당합니다.
 인터넷을 통해 물건을 구매할 가능성이 있는 고객과 물건을 판매할 개인과 기업의 요구를 포함한 전자상거래 시스템을 만듭니다.
 고객을 대상으로 마케팅 전략을 세우거나 전자상거래의 구축에 대한 전문적인 조언을 합니다.
 전자상거래와 관련된 법률적 문제를 검토하고 사이트를 만들고 판매 및 유통 계획을 수립하고 전체 웹사이트의 운영과 관리에 대해 감독합니다."
83,전통건축원," 전통건축원은 전통 건축기법을 이용하여 한옥, 사원, 궁궐 등의 전통 건축물을 설계하고 시공하는 일을 합니다.
 전통 건축물을 새로 짓거나 보수하기 위해 건축 설계도를 해석합니다.
 전통 건축 기법을 이용하여 한옥, 사원, 궁궐 등의 전통 창호와 가구 등을 제작합니다.
 나무로 된 건물을 세우기 위해 나무를 깎고 다듬으며, 건물의 기울어진 부분을 바로잡거나 전통 건축물의 기와를 잇거나 보수하는 업무를 수행합니다."
84,정밀 농업기술자," 정밀 농업기술자는 작물이나 흙의 상태에 따라서 적합한 비료와 농약 등을 사용하여 환경을 보호하고 가장 효율적으로 농사를 짓는 기술을 개발합니다.
 정밀 농업을 하려는 농민들에게 농업기술을 교육하고 전문적인 조언을 제공하는 일을 합니다.
 정밀 농업에 필요한 기계를 관리하고 작업 정보를 분석합니다.
 작물에 영향을 미치는 토양과 기후 등에 관한 정보를 분석하여 농업인들에게 제공합니다."
85,정보보호전문가," 정보보호전문가는 정보시스템의 보안 정책을 세우고, 시스템에 대한 접근 및 운영을 통제하며, 침입자가 발생했을 때에는 신속하게 발견하고 대응해 시스템을 보호하는 일을 합니다.
 허가받지 않은 사람이 정보시스템이나 컴퓨터에 불법 접근하여 정보를 탈취, 변조, 파괴하는 등의 공격 행위를 할 때, 이를 방어하거나 예방합니다.
 각종 컴퓨터바이러스의 발생과 해커의 침입에 대비하여 보안 방법을 만들고, 정보를 보호하는 방화벽의 설정을 변경하거나 관리합니다.
 정보시스템의 정보가 손상되는 크래킹을 당했을 때 이를 빠르게 복구하고 새로운 보안 방법을 마련합니다.
 정보시스템의 위험하고 약한 곳을 확인하여 대비를 하고 컴퓨터바이러스 백신 프로그램을 개발하여 보급하거나 바이러스에 감염된 데이터를 살려냅니다."
86,정보시스템운영자,"정보시스템운영자는 기업이나 기관에서 운영하고 있는 정보시스템을 안전하고 체계적으로 운영 및 관리하고 사용자들에게 서비스를 제공하는 일을 합니다. 
 정보시스템의 하드웨어나 네트워크 장비는 외부 환경에 영향을 받기 쉬우므로 전산실 내부의 온도, 습도, 먼지 등을 체크하고 쾌적하게 유지될 수 있도록 합니다.
 정보시스템의 사용자에 대한 등록 및 삭제에 대한 관리와 각 기능별 사용 권한을 주거나, 시스템 내의 정보를 외부로부터 보호하기 위해 기술적 장치를 마련하고 정기적으로 데이터를 원래 상태로 복구할 수 있는 형태로 보관합니다.
 시스템을 운영하면서 문제점이나 오류 및 고장이 발생하면, 즉시 원인을 파악하여 시스템을 빠른 시간 내에 복구합니다."
87,정보중개인,"정보중개인은 정보 요구자의 의뢰나 요청에 따라 해당하는 정보의 원천이 어디 있는지를 찾고 이 정보를 고객의 요구 사항에 맞게 가공하여 활용할 수 있는 형태로 제공하는 일을 담당하고 있습니다.
 고객의 의뢰 및 요청 사항을 정확히 파악하여 필요한 정보에 대해 정의하고, 인터넷 검색, 문헌 탐색 및 관련 관계자들과의 만남을 통해 정보를 찾아냅니다."
88,조선공학기술자,"조선공학기술자는 선박과 해저자원의 탐사 및 채굴을 목적으로 하는 해양구조물을 연구하고 해양구조물의 시공 및 관리 등과 관련된 일을 담당합니다.
 선박설계의 원리, 선박설계의 환경조건 등의 조선공학기술을 바탕으로 선박 및 해양구조물을 설계하고 건조합니다.
 선박의 기본적인 특성, 구조 등을 개발, 연구하고 선박 및 해양구조물을 설치하기 위하여 설계계획안, 설계서 등의 관련 자료를 검토하고 분석합니다.
 새로운 선박 및 해양구조물의 설계 및 선박 생산과정의 고능률화와 자동화를 위한 시스템 시뮬레이션 기술을 개발하고 실제에 적용하기 위한 연구를 합니다."
89,지리정보시스템기사,"지리정보시스템 데이터베이스 설계, 유지, 수정 및 기술지원을 담당합니다.
 지리정보시스템기사는 지리정보시스템(GIS: Geographic Information System) 자료를 설계, 유지, 수정 또는 사용하여 과학자, 기술자, 관련 전문가들에게 필요한 지원을 합니다.
 고급 공간 분석, 데이터 조작, 또는 지도 제작 소프트웨어를 사용하여 지리 공간 데이터를 구축하거나 모델링하고 전문적인 분석을 수행합니다.
 통합 지리정보시스템의 공간 또는 비공간 데이터베이스의 개발을 설계 또는 조정하는 일을 하거나 효과적으로 정보를 보여주는 데 필요한 지도 제작 요소를 선택합니다.
 지리정보시스템 데이터베이스, 장비, 또는 응용 프로그램의 유지, 개발, 또는 활용 방식과 관련하여 사용자 또는 고객을 대상으로 기술지원을 제공합니다."
90,측량사,"측량사는 국토의 이용, 개발, 건설 공사, 지도 제작을 목적으로 토지의 형태, 지형선, 위치, 고도, 면적 등을 측량하는 업무를 수행합니다.
 토지에 대한 측량 계획과 방법, 절차를 계획함으로써 토지에 물권이 미치는 한계를 정합니다.
 토지 자산, 필지, 토지구획에 대한 사법적 경계를 확립하고자 측량을 계획, 지휘, 감독합니다.
 지형, 지형선 등 영역들을 도면화하고자 경도, 각도, 컴퓨터 삼각법, 기타 계산을 활용하여 분석합니다.
 측량 자료를 검토, 수정하여 도면과 측량 결과서를 작성합니다."
91,카지노딜러,"카지노딜러는 카지노에서 고객의 편의를 위한 각종 서비스를 제공하거나 룰렛, 블랙잭, 바카라 등의 카지노 게임을 진행합니다.
 딜러는 원활한 카지노 게임의 진행을 위해 게임 규칙을 완벽하게 알아야 하고, 게임에 사용하는 카드나 칩을 잘 다루고 신속하고 정확한 동작을 합니다.
딜러는 게임 참여자에게 게임의 기본 규칙을 설명하고 참가자들의 착석 여부와 규정된 금액을 사용했는지 확인을 한 후, 카드, 주사위를 통해 게임을 진행합니다.
 게임의 승패에 따라 근무하는 테이블에서 고객에게 칩을 주거나 받고 고객의 칩을 바꿔주기도 하며, 게임 도중 의심이 가는 행동을 하는 사람이 있으면 카지노 게임장을 감독하는 플로어퍼슨에게 보고합니다."
92,컴퓨터게임시나리오작가,"컴퓨터게임시나리오작가는 게임 개발을 위해 필요한 시나리오를 구성하고 개발하는 일을 합니다.
 다양한 자료를 읽고 조사하며, 게임 시장의 흐름을 파악하여 새로운 게임 소재를 발굴합니다.
 게임의 주제나 장르를 결정하고 이에 따라 게임 시나리오를 창작합니다.
 게임의 스토리 전개를 구성하며, 게임의 개발 과정을 관리하고 감독합니다."
93,컴퓨터그래픽디자이너,"컴퓨터그래픽디자이너는 컴퓨터를 이용해 광고, 영화, 드라마, 애니메이션에 사용되는 특수효과 등 3D 입체 영상이나 도형, 공간, 자막, 그림 등을 디자인하고 표현하는 일을 합니다.
 인터넷 홈페이지에 사용되는 여러 가지 새로운 이미지를 생각해내고 제작하며, 웹페이지에 디자인한 이미지를 올립니다.
방송이나 영화 및 게임 시나리오 작가가 생각한 내용 즉, 입체 영상이나 특수효과, 자막, 그림 등을 컴퓨터 그래픽을 사용하여 영상 속에 표현합니다."
94,컴퓨터하드웨어 기술자 및 연구원," 컴퓨터하드웨어 기술자 및 연구원은 컴퓨터시스템과 주변기기에 대한 지식을 바탕으로 컴퓨터 하드웨어 시스템을 설계하고 실제 생산에 필요한 기술을 지원합니다.
 컴퓨터 본체, 중앙처리장치, 주기억장치, 그래픽카드 등 컴퓨터와 관련된 각종 부품을 설계, 개발하고, 생산을 관리합니다.
 컴퓨터와 관련 장비를 설치, 설비, 변경하고, 기타 작업을 감독하거나 검사하며 컴퓨터 도면 프로그램인 CAD의 설계사, 기술자 및 기타 엔지니어를 관리합니다."
